Age,Marital_Status,Education,Dependents,Residence_Type,City_Tier,Employment_Type,Years_at_Current_Job,Total_Work_Experience,Monthly_Income,Other_Income,Existing_Loans,Existing_Loan_Amount,Monthly_EMI,Debt_to_Income,Savings,Investments,Bank_Balance,Credit_Card_Utilization,Number_of_Bank_Accounts,Number_of_Credit_Cards,Credit_Score,Loan_Defaults,Missed_Payments,Tax_Return_Filed,Loan_Purpose,Loan_Amount,Loan_Tenure,Interest_Rate,Collateral,Collateral_Value,Loan_to_Value,Total_Debt_Exposure
33,Married,High School,2,Urban,1,Private,1,2,94548,0.0,1,2710834,29668,31.38,1467097.0,0.0,539499.0,60.93,2,1,510.0,1,2,No,Home,4427932,20,13.61,Yes,7124573.0,62.15,7138766
34,Married,Graduate,2,Urban,2,Private,8,13,76202,0.0,0,0,0,0.0,1166943.0,459545.0,1056823.0,69.38,2,3,645.0,0,0,Yes,Home,3076057,15,13.3,Yes,4742039.0,64.87,3076057
30,Married,Graduate,2,Rural,4,Self-Employed,1,1,58637,23243.0,1,1290848,28576,48.73,471102.0,0.0,458921.0,84.5,1,1,575.0,0,0,Yes,Vehicle,793392,7,15.38,Yes,1512510.0,52.46,2084240
24,Single,Post Graduate,0,Rural,3,Private,0,2,46846,11747.0,1,274747,3528,7.53,989914.0,194234.0,287021.0,14.56,2,1,655.0,0,0,Yes,Home,1280646,30,10.82,Yes,2048750.0,62.51,1555393
21,Single,Graduate,0,Urban,1,Private,0,0,90650,0.0,0,0,0,0.0,899452.0,104423.0,791590.0,7.82,3,3,656.0,0,0,Yes,Home,4359355,25,10.07,Yes,5247851.0,83.07,4359355
36,Married,Diploma,1,Urban,1,Self-Employed,6,10,64874,30786.0,0,0,0,0.0,509199.0,0.0,491599.0,25.42,2,2,671.0,0,0,Yes,Medical,422279,5,11.95,No,,,422279
32,Married,High School,1,Urban,1,Self-Employed,2,6,122808,0.0,2,1741129,16054,13.07,1074349.0,0.0,1154886.0,18.17,2,3,664.0,0,0,Yes,Home,9471439,15,10.04,Yes,14957502.0,63.32,11212568
54,Married,High School,3,Urban,1,Private,10,14,82327,0.0,1,1320030,13991,16.99,145057.0,44387.0,123866.0,51.99,3,3,682.0,0,0,Yes,Home,5064297,30,10.4,Yes,9858434.0,51.37,6384327
44,Married,High School,2,Urban,1,Self-Employed,5,7,102932,0.0,0,0,0,0.0,2113944.0,0.0,2604469.0,0.0,2,2,679.0,0,0,Yes,Home,3839384,20,11.94,Yes,4914464.0,78.12,3839384
42,Married,Post Graduate,3,Rural,3,Self-Employed,14,15,57737,0.0,0,0,0,0.0,369890.0,173383.0,265068.0,11.53,1,1,662.0,0,0,Yes,Home,4106355,30,10.23,Yes,6999490.0,58.67,4106355
46,Single,Graduate,0,Urban,1,Government,0,3,58134,0.0,1,1013529,23473,40.38,289961.0,0.0,224413.0,26.85,3,2,587.0,0,1,Yes,Personal,1154559,5,14.6,No,,,2168088
33,Single,High School,0,Urban,2,Unemployed,0,11,19737,0.0,0,0,0,0.0,474050.0,0.0,387960.0,12.73,2,1,657.0,0,0,Yes,Personal,180791,3,10.02,Yes,309138.0,58.48,180791
49,Married,High School,2,Urban,1,Private,2,12,113419,17458.0,1,4254375,43972,38.77,1161285.0,0.0,556887.0,32.03,5,2,584.0,0,1,Yes,Education,953000,7,14.7,No,,,5207375
28,Married,Post Graduate,0,Rural,3,Private,0,5,65115,80047.0,2,912589,11065,16.99,470470.0,415127.0,289676.0,59.86,4,1,654.0,0,0,No,Home,2933274,20,11.37,Yes,3496812.0,83.88,3845863
21,Single,High School,0,Urban,1,Private,0,0,56875,0.0,3,2980037,34591,60.82,69266.0,0.0,74941.0,53.03,1,1,564.0,0,1,Yes,Medical,522183,2,13.84,No,,,3502220
31,Single,Graduate,0,Urban,1,Government,1,1,57867,0.0,2,3419305,50450,87.18,129116.0,67230.0,179923.0,86.67,1,0,482.0,0,2,No,Education,279681,7,13.9,No,,,3698986
27,Married,Post Graduate,3,Rural,4,Government,0,0,42209,99431.0,0,0,0,0.0,406288.0,175045.0,222743.0,25.08,2,0,675.0,0,0,Yes,Business,1996770,5,10.59,Yes,3429564.0,58.22,1996770
32,Married,High School,1,Urban,1,Private,4,5,96179,21112.0,0,0,0,0.0,1337710.0,687739.0,767907.0,24.27,3,2,684.0,0,0,Yes,Home,7110941,20,10.01,Yes,10692253.0,66.51,7110941
31,Single,Post Graduate,0,Rural,4,Government,3,9,60173,0.0,1,1773466,18750,31.16,566754.0,70367.0,274615.0,53.56,3,3,631.0,0,0,Yes,Business,2146093,15,12.7,Yes,4151135.0,51.7,3919559
40,Married,Graduate,1,Rural,2,Private,5,12,88722,0.0,1,2027605,29052,32.74,930552.0,0.0,941577.0,7.54,3,2,603.0,0,1,Yes,Personal,463102,3,11.62,No,,,2490707
45,Married,Post Graduate,1,Urban,1,Government,15,17,85999,0.0,0,0,0,0.0,948687.0,0.0,543677.0,39.15,3,1,669.0,0,0,Yes,Home,5357889,25,10.68,Yes,5844826.0,91.67,5357889
31,Married,High School,3,Urban,1,Self-Employed,0,0,87480,0.0,3,720102,15392,17.59,1048612.0,0.0,334817.0,22.48,4,1,644.0,0,2,Yes,Vehicle,1264683,3,12.23,Yes,1554880.0,81.34,1984785
24,Single,No Formal,0,Rural,4,Unemployed,2,2,11175,16090.0,1,634211,6946,62.16,29471.0,0.0,26267.0,67.11,1,1,564.0,0,1,No,Personal,86211,3,14.52,Yes,112412.0,76.69,720422
54,Married,Graduate,2,Rural,3,Private,0,26,98142,65712.0,1,5764530,68000,69.29,741714.0,147741.0,855200.0,43.5,3,3,521.0,0,4,Yes,Home,7201616,15,16.53,Yes,12466434.0,57.77,12966146
25,Married,High School,1,Rural,4,Unemployed,2,4,11595,18170.0,1,504752,7570,65.29,97637.0,26851.0,74974.0,62.15,2,0,373.0,1,3,No,Personal,90814,5,14.34,Yes,117508.0,77.28,595566
27,Single,Graduate,0,Urban,1,Government,0,1,102494,0.0,0,0,0,0.0,2054129.0,334030.0,727875.0,10.42,2,1,697.0,0,0,Yes,Vehicle,521102,3,10.68,Yes,696493.0,74.82,521102
50,Married,Graduate,2,Urban,2,Private,0,10,57254,0.0,1,3630827,35846,62.61,339152.0,302693.0,257977.0,54.88,1,2,405.0,1,4,No,Medical,107663,3,14.64,No,,,3738490
56,Divorced,High School,0,Urban,1,Self-Employed,13,13,154847,40341.0,3,10044460,82407,53.22,272931.0,0.0,252142.0,40.77,2,2,454.0,1,3,Yes,Personal,1570961,2,13.92,Yes,1891956.0,83.03,11615421
43,Married,Post Graduate,1,Urban,1,Government,4,15,142857,0.0,1,6889418,65817,46.07,1280330.0,913072.0,,72.03,5,4,460.0,1,2,Yes,Personal,1703355,3,16.17,No,,,8592773
26,Single,No Formal,0,Urban,1,Skilled Labor,1,2,52044,0.0,1,2296695,22565,43.36,737922.0,197589.0,467298.0,65.28,2,2,573.0,0,2,Yes,Home,3829452,25,16.46,Yes,3753411.0,95.0,6126147
51,Widowed,Graduate,1,Rural,2,Government,11,20,124076,11183.0,0,0,0,0.0,1221699.0,0.0,1386223.0,53.84,5,4,715.0,0,0,Yes,Personal,1788771,5,10.05,No,,,1788771
43,Single,High School,0,Urban,2,Self-Employed,12,19,95588,175948.0,0,0,0,0.0,1323598.0,0.0,1380687.0,41.28,3,3,660.0,0,0,Yes,Vehicle,1304946,5,10.58,Yes,1644242.0,79.36,1304946
33,Married,No Formal,2,Urban,1,Self-Employed,1,1,112887,120652.0,0,0,0,0.0,2115935.0,1226780.0,1988590.0,0.0,4,2,684.0,0,0,Yes,Home,7975835,15,10.97,Yes,11437459.0,69.73,7975835
50,Married,Post Graduate,2,Rural,4,Government,5,8,44265,64953.0,1,886140,8672,19.59,82186.0,0.0,86576.0,37.19,2,1,644.0,0,0,Yes,Personal,584614,5,13.36,No,,,1470754
32,Divorced,Graduate,2,Rural,4,Self-Employed,3,10,64147,21078.0,1,4069952,59792,93.21,192246.0,0.0,200236.0,77.77,3,3,488.0,0,3,Yes,Personal,492736,3,15.75,No,,,4562688
41,Married,Graduate,1,Urban,1,Private,6,10,96319,15773.0,2,2983456,31009,32.19,359595.0,0.0,490888.0,32.74,4,3,656.0,0,0,No,Personal,536135,5,11.94,No,,,3519591
28,Married,No Formal,0,Rural,2,Self-Employed,1,1,53468,0.0,2,1700550,36394,68.07,269384.0,79013.0,190560.0,61.67,2,2,,0,2,Yes,Home,2035955,20,,No,,,3736505
26,Single,Post Graduate,0,Urban,2,Self-Employed,3,5,110775,0.0,1,6246801,128978,95.0,572675.0,603629.0,376523.0,52.63,4,3,548.0,0,2,Yes,Home,5254252,20,16.09,Yes,7648642.0,68.7,11501053
43,Married,Diploma,1,Urban,2,Private,4,19,98006,6499.0,2,1016455,11390,11.62,2035130.0,232225.0,615130.0,42.67,3,1,593.0,1,0,Yes,Vehicle,1010220,5,15.52,Yes,1717080.0,58.83,2026675
27,Married,Post Graduate,2,Rural,4,Government,0,0,60604,67975.0,0,0,0,0.0,1012546.0,367140.0,303496.0,44.26,2,3,674.0,0,0,Yes,Home,2090786,30,11.46,Yes,3271659.0,63.91,2090786
27,Married,Graduate,0,Urban,2,Self-Employed,3,3,86776,0.0,2,3881174,34080,39.27,975766.0,526628.0,407261.0,42.97,4,1,651.0,0,0,Yes,Vehicle,815209,5,11.63,Yes,1206444.0,67.57,4696383
32,Single,Post Graduate,0,Rural,4,Self-Employed,8,11,86039,0.0,2,6020075,48979,56.93,805643.0,0.0,285607.0,59.55,4,3,455.0,1,3,Yes,Vehicle,1075274,5,15.32,No,,,7095349
40,Married,Graduate,2,Urban,2,Private,4,4,46636,6733.0,2,2946457,66458,95.0,109707.0,41949.0,77516.0,30.0,1,0,485.0,0,2,Yes,Home,2815802,20,16.23,Yes,4238759.0,66.43,5762259
33,Married,Diploma,3,Urban,1,Private,3,3,71061,0.0,0,0,0,0.0,586884.0,0.0,481637.0,14.29,2,2,666.0,0,0,Yes,Home,3881559,20,10.08,Yes,6770890.0,57.33,3881559
48,Married,Graduate,1,Urban,1,Private,0,11,61450,0.0,2,2558270,24647,40.11,354473.0,294797.0,,46.87,3,1,581.0,0,1,Yes,Medical,583901,3,16.66,No,,,3142171
42,Married,Post Graduate,2,Urban,1,Private,2,2,49698,0.0,1,906629,10147,20.42,141682.0,0.0,88035.0,63.1,2,2,642.0,0,0,Yes,Home,2155813,30,13.12,Yes,2352259.0,91.65,3062442
28,Married,Graduate,2,Urban,1,Self-Employed,3,6,114844,0.0,2,4808612,43712,38.06,1484020.0,1244964.0,1291486.0,50.97,2,1,641.0,0,0,Yes,Home,6321882,20,13.2,Yes,7562293.0,83.6,11130494
38,Married,Graduate,1,Rural,3,Government,11,17,76479,0.0,0,0,0,0.0,911857.0,201839.0,406533.0,9.72,2,1,635.0,0,0,Yes,Business,1548398,15,12.02,Yes,2509141.0,61.71,1548398
35,Widowed,Post Graduate,1,Urban,4,Private,12,13,76028,329184.0,1,474509,5722,7.53,1121962.0,141522.0,915905.0,15.1,2,3,650.0,0,0,Yes,Vehicle,1078099,5,11.81,Yes,1640028.0,65.74,1552608
28,Married,Graduate,0,Urban,1,Private,2,3,100457,0.0,1,3424924,43430,43.23,748197.0,231630.0,459191.0,24.09,3,1,442.0,1,3,Yes,Business,4537507,5,13.9,Yes,8348749.0,54.35,7962431
50,Married,Post Graduate,0,Urban,3,Private,12,18,66495,0.0,0,0,0,0.0,770728.0,605453.0,570687.0,23.8,1,1,692.0,0,0,Yes,Personal,616911,3,10.53,No,,,616911
50,Married,Graduate,2,Rural,4,Private,3,13,57002,0.0,1,3632561,42070,73.8,330758.0,48532.0,277944.0,68.24,3,1,547.0,0,2,Yes,Home,3879617,15,15.37,Yes,5713078.0,67.91,7512178
22,Single,Graduate,1,Urban,1,Self-Employed,0,1,124368,108838.0,4,2410563,19833,15.95,2508863.0,613173.0,-860139.0,30.33,3,4,679.0,0,0,Yes,Medical,431502,5,11.53,No,,,2842065
29,Single,High School,0,Urban,3,Private,6,6,68323,0.0,2,2520773,25390,37.16,316255.0,0.0,158969.0,0.0,2,3,601.0,0,0,Yes,Education,645390,7,13.7,Yes,797745.0,80.9,3166163
34,Single,Graduate,0,Urban,1,Self-Employed,6,11,128267,0.0,1,1151795,14965,11.67,2184430.0,0.0,1390757.0,27.66,3,4,701.0,0,0,Yes,Vehicle,1129067,5,10.46,Yes,1803893.0,62.59,2280862
33,Married,Graduate,3,Rural,3,Self-Employed,2,8,119621,0.0,3,4955037,62306,52.09,1551994.0,604710.0,546144.0,98.98784180197512,2,3,621.0,0,1,Yes,Education,710380,7,11.6,No,,,5665417
33,Married,High School,1,Urban,2,Private,3,7,50348,32021.0,0,0,0,0.0,355682.0,0.0,151052.0,14.17,1,1,676.0,0,0,Yes,Business,1024107,10,11.3,Yes,1305761.0,78.43,1024107
47,Married,High School,1,Urban,1,Unemployed,1,11,31027,0.0,1,1256631,15326,49.4,135516.0,116100.0,136623.0,48.91,3,2,523.0,0,3,No,Home,1059336,25,16.53,Yes,1148126.0,92.27,2315967
63,Married,High School,1,Rural,3,Skilled Labor,31,37,88030,0.0,1,659389,6678,7.59,1145375.0,0.0,968564.0,35.5,4,2,682.0,0,0,Yes,Home,2954141,20,10.24,Yes,3669662.0,80.5,3613530
28,Single,High School,0,Rural,3,Private,1,5,65367,0.0,1,954510,10300,15.76,723989.0,0.0,811860.0,22.73,2,3,650.0,0,0,Yes,Medical,466290,2,11.07,No,,,1420800
40,Divorced,Diploma,0,Rural,3,Private,0,3,66779,0.0,2,3875213,38092,57.04,459707.0,97463.0,518109.0,35.49,2,2,529.0,0,2,Yes,Home,3680644,20,14.3,Yes,6564772.0,56.07,7555857
44,Single,Post Graduate,0,Urban,1,Private,5,7,52552,12214.0,0,0,0,0.0,794103.0,217904.0,844820.0,35.24,3,1,671.0,0,0,Yes,Personal,610445,2,10.71,No,,,610445
46,Married,High School,2,Urban,1,Private,1,1,52818,15095.0,0,0,0,0.0,183381.0,0.0,241411.0,24.06,1,1,705.0,0,0,Yes,Vehicle,586435,3,9.17,Yes,1007150.0,58.23,586435
45,Married,Post Graduate,2,Urban,2,Private,1,4,70334,0.0,0,0,0,0.0,1449084.0,2310211.0,1572303.0,0.0,1,2,674.0,0,0,Yes,Vehicle,660769,5,10.87,Yes,1253141.0,52.73,660769
33,Single,High School,0,Urban,1,Self-Employed,0,3,49556,0.0,0,0,0,0.0,764108.0,0.0,776219.0,31.63,3,1,657.0,0,0,Yes,Personal,166437,5,11.64,No,,,166437
26,Divorced,Diploma,0,Urban,1,Private,0,4,78322,0.0,0,0,0,0.0,1354429.0,0.0,1433879.0,18.13,2,3,564.0,1,0,Yes,Education,537185,5,14.17,No,,,537185
35,Divorced,Post Graduate,0,Urban,1,Government,0,2,121634,0.0,0,0,0,0.0,2256328.0,679863.0,2707756.0,36.27,2,4,711.0,0,0,Yes,Home,6456882,15,10.45,Yes,8181671.0,78.92,6456882
34,Married,Graduate,1,Urban,1,Private,1,9,100130,0.0,0,0,0,0.0,340872.0,558469.0,214894.0,34.86,3,1,674.0,0,0,No,Home,6678677,20,10.58,Yes,8242791.0,81.02,6678677
52,Married,High School,2,Urban,1,Unemployed,0,2,15903,0.0,1,960371,10774,67.75,166586.0,65639.0,175176.0,47.78,1,1,457.0,0,5,Yes,Medical,62210,3,15.87,Yes,90409.0,68.81,1022581
34,Married,Graduate,3,Urban,2,Government,3,7,90157,0.0,1,2540457,34196,37.93,1429210.0,172847.0,513747.0,55.29,3,2,587.0,0,2,No,Home,6380722,25,16.24,Yes,8446231.0,75.55,8921179
37,Married,High School,0,Urban,1,Self-Employed,2,3,50643,0.0,0,0,0,0.0,1007429.0,371458.0,1226782.0,15.0,2,2,669.0,0,0,Yes,Business,2006470,15,11.24,Yes,2684754.0,74.74,2006470
34,Married,Diploma,2,Rural,3,Self-Employed,1,11,99379,0.0,1,3996978,34045,34.26,1251205.0,1026384.0,509955.0,0.26,4,1,579.0,0,1,Yes,Home,6937355,20,15.57,No,,,10934333
26,Married,No Formal,3,Urban,1,Unemployed,4,4,13609,76341.0,0,0,0,0.0,180400.0,0.0,62303.0,98.98784180197512,1,0,660.0,0,0,Yes,Home,1037069,30,10.35,Yes,2003434.0,51.76,1037069
28,Married,Diploma,2,Rural,4,Private,0,1,34683,41255.0,1,889814,10987,31.68,176728.0,0.0,174034.0,69.25,3,1,606.0,0,0,No,Home,1217494,20,13.72,Yes,2544852.0,47.84,2107308
31,Married,High School,2,Urban,1,Private,2,10,56442,18722.0,1,1854714,21764,38.56,91342.0,0.0,64221.0,19.57,2,1,581.0,0,0,Yes,Vehicle,787153,5,14.55,No,,,2641867
58,Widowed,High School,2,Urban,2,Self-Employed,14,14,69988,26825.0,0,0,0,0.0,503268.0,0.0,597862.0,43.49,1,3,694.0,0,0,Yes,Home,3006709,20,11.21,Yes,5251373.0,57.26,3006709
35,Single,Post Graduate,0,Urban,1,Self-Employed,0,0,75156,0.0,0,0,0,0.0,1678456.0,365542.0,834476.0,19.81,2,1,667.0,0,0,Yes,Home,5440510,25,11.66,Yes,7085924.0,76.78,5440510
65,Married,Post Graduate,0,Urban,1,Self-Employed,5,24,187543,0.0,0,0,0,0.0,3281645.0,1296465.0,3042789.0,38.91,2,2,709.0,0,0,Yes,Medical,848872,5,9.42,Yes,1516030.0,55.99,848872
36,Married,High School,0,Urban,2,Private,2,6,45193,0.0,3,1815243,19140,42.35,610751.0,140641.0,403902.0,53.14,1,0,532.0,0,2,No,Home,1937321,30,15.08,Yes,2432210.0,79.65,3752564
32,Single,Graduate,0,Rural,4,Private,0,2,44725,0.0,1,524370,6436,14.39,438212.0,0.0,520720.0,22.64,3,2,654.0,0,0,Yes,Home,1409115,20,11.6,Yes,1707774.0,82.51,1933485
49,Married,Post Graduate,2,Urban,1,Self-Employed,7,25,84417,0.0,2,1426502,12653,14.99,347049.0,233379.0,198854.0,32.38,2,2,661.0,0,0,Yes,Vehicle,529306,7,11.51,Yes,739624.0,71.56,1955808
48,Married,Diploma,0,Urban,1,Government,1,19,149431,0.0,1,1306838,14029,9.39,1612278.0,0.0,1342325.0,33.0,4,2,691.0,0,0,No,Vehicle,2156280,5,11.87,Yes,2234604.0,95.0,3463118
54,Married,Post Graduate,3,Urban,1,Private,17,21,104966,19161.0,0,0,0,0.0,1427053.0,0.0,875022.0,39.41,3,1,679.0,0,0,Yes,Education,525496,7,10.79,No,,,525496
24,Single,High School,0,Urban,1,Self-Employed,0,1,114643,0.0,0,0,0,0.0,2419822.0,0.0,2954337.0,28.7,3,2,676.0,0,0,Yes,Personal,574579,5,11.85,No,,,574579
34,Single,Graduate,0,Urban,1,Private,4,4,49727,0.0,1,2852084,32315,64.98,292851.0,0.0,238607.0,87.8,3,1,397.0,1,4,Yes,Vehicle,328664,3,15.41,No,,,3180748
37,Married,Graduate,1,Urban,2,Private,11,11,87955,123593.0,0,0,0,0.0,1382899.0,255292.0,653818.0,54.1,3,1,682.0,0,0,Yes,Home,3535290,15,10.84,Yes,5860238.0,60.33,3535290
24,Single,Graduate,0,Urban,2,Self-Employed,1,3,75863,0.0,0,0,0,0.0,1546644.0,364661.0,1354704.0,39.51,1,2,674.0,0,0,Yes,Personal,1207619,2,11.51,No,,,1207619
22,Single,Graduate,0,Urban,1,Private,0,0,47125,24045.0,0,0,0,0.0,903194.0,955720.0,974355.0,0.0,2,2,666.0,0,0,Yes,Personal,399715,2,10.64,No,,,399715
47,Married,High School,2,Rural,3,Private,16,22,78254,0.0,1,4971796,53059,67.8,463650.0,0.0,316796.0,74.95,4,1,403.0,1,4,Yes,Vehicle,1173292,3,15.33,No,,,6145088
30,Married,Post Graduate,1,Rural,2,Private,3,8,84776,5074.0,0,0,0,0.0,1534664.0,1245506.0,-415744.0,25.75,4,3,675.0,0,0,Yes,Business,2822418,10,10.94,Yes,5351395.0,52.74,2822418
32,Single,High School,0,Urban,1,Private,2,5,96093,0.0,0,0,0,0.0,1697296.0,450751.0,1472430.0,22.62,4,2,677.0,0,0,Yes,Business,3007587,10,10.41,Yes,6293564.0,47.79,3007587
27,Single,Post Graduate,0,Rural,4,Private,0,1,45670,0.0,0,0,0,0.0,624175.0,286000.0,428656.0,23.27,1,0,659.0,0,0,Yes,Personal,394173,3,11.25,Yes,659586.0,59.76,394173
31,Single,Graduate,0,Rural,3,Government,6,6,77338,0.0,0,0,0,0.0,1589630.0,202002.0,1065356.0,5.76,2,1,667.0,0,0,Yes,Home,4714535,30,10.28,Yes,7698060.0,61.24,4714535
24,Single,Diploma,0,Urban,1,Private,1,3,45095,0.0,0,0,0,0.0,896304.0,331961.0,479597.0,60.35,2,2,661.0,0,0,Yes,Home,2212751,15,11.3,Yes,4321477.0,51.2,2212751
43,Widowed,Diploma,0,Urban,1,Self-Employed,5,17,166220,34896.0,1,9316639,114122,68.66,997662.0,0.0,1277958.0,68.43,2,4,595.0,0,3,Yes,Medical,441767,3,13.77,Yes,680690.0,91.80728996594432,9758406
39,Married,High School,1,Urban,1,Skilled Labor,13,17,81368,97233.0,1,1568417,17038,20.94,913139.0,410707.0,871336.0,48.45,2,2,676.0,0,0,Yes,Education,633018,5,11.13,Yes,1169482.0,54.13,2201435
35,Single,High School,0,Urban,1,Self-Employed,5,5,125278,0.0,1,6332511,60256,48.1,390964.0,,319482.0,33.0,2,3,647.0,0,0,Yes,Personal,1905636,3,12.81,Yes,2623240.0,72.64,8238147
39,Married,Diploma,2,Rural,2,Private,5,17,97813,0.0,1,3627397,36148,36.96,942559.0,117978.0,605830.0,29.14,3,3,570.0,0,2,Yes,Vehicle,489929,5,16.24,Yes,810660.0,60.44,4117326
37,Married,Graduate,1,Urban,3,Private,12,13,60608,,0,0,0,0.0,1455323.0,213605.0,865570.0,36.21,3,1,634.0,0,0,Yes,Personal,966270,2,13.21,No,,,966270
21,Single,Graduate,0,Urban,2,Private,0,0,38756,0.0,0,0,0,0.0,193178.0,46926.0,210339.0,45.04,2,1,649.0,0,0,No,Home,2505625,20,13.74,Yes,3000660.0,83.5,2505625
39,Married,Graduate,2,Rural,4,Self-Employed,6,17,48122,0.0,0,0,0,0.0,910361.0,0.0,508431.0,51.77,2,2,685.0,0,0,Yes,Medical,246438,3,11.14,No,,,246438
44,Married,Graduate,1,Urban,2,Private,3,8,40318,328038.0,0,0,0,0.0,280798.0,82975.0,198833.0,28.66,1,1,674.0,0,0,No,Home,1979414,30,11.58,Yes,3335028.0,59.35,1979414
52,Widowed,Graduate,2,Urban,1,Private,5,16,112481,0.0,0,0,0,0.0,2246597.0,303387.0,1392147.0,18.96,2,1,632.0,0,0,Yes,Business,2334987,5,13.01,No,,,2334987
53,Married,Post Graduate,0,Urban,1,Self-Employed,24,28,174680,0.0,2,10033212,78492,44.93,2073295.0,0.0,1562272.0,50.34,3,2,559.0,0,2,Yes,Business,6910154,10,13.8,Yes,7510956.0,92.0,16943366
40,Married,Graduate,0,Urban,3,Private,13,15,65015,,1,2980484,26718,41.1,885268.0,158915.0,1018386.0,53.96,1,2,577.0,0,1,Yes,Medical,491081,3,16.52,Yes,644443.0,76.2,3471565
28,Married,High School,2,Urban,1,Skilled Labor,6,7,43347,74270.0,1,690504,10017,23.11,78389.0,0.0,53234.0,7.28,2,1,637.0,0,0,No,Education,115197,7,12.09,No,,,805701
30,Married,Graduate,1,Urban,1,Government,4,6,44691,0.0,1,1035736,12018,26.89,358595.0,0.0,208347.0,37.44,1,1,640.0,0,0,Yes,Home,3030528,30,11.77,Yes,6208717.0,48.81,4066264
44,Married,Post Graduate,2,Urban,2,Self-Employed,0,4,87462,43385.0,0,0,0,0.0,817832.0,0.0,704431.0,29.66,5,2,692.0,0,0,Yes,Home,6554227,20,11.09,Yes,7535814.0,86.97,6554227
37,Married,Diploma,0,Urban,1,Self-Employed,0,0,37259,0.0,0,0,0,0.0,871365.0,152040.0,479304.0,41.69,4,1,651.0,0,0,No,Home,2356456,15,10.16,Yes,2724439.0,86.49,2356456
30,Single,Graduate,0,Rural,3,Private,7,7,63097,0.0,2,1680314,16533,26.2,927068.0,126374.0,531015.0,27.47,2,2,638.0,0,0,Yes,Home,1727245,15,11.87,Yes,3261515.0,52.96,3407559
61,Single,Diploma,1,Urban,1,Private,0,2,50291,15301.0,0,0,0,0.0,782988.0,0.0,490958.0,43.65,2,1,652.0,0,0,No,Vehicle,430734,5,10.72,Yes,533273.0,80.77,430734
45,Married,Post Graduate,2,Urban,2,Government,0,7,89605,0.0,1,427477,4448,4.96,182146.0,0.0,95938.0,53.6,3,2,675.0,0,0,Yes,Education,831919,7,11.78,No,,,1259396
63,Married,Graduate,1,Urban,1,Private,6,20,100199,0.0,2,3611491,33483,33.42,245055.0,118955.0,253678.0,58.34,3,3,586.0,0,2,Yes,Home,6633089,25,15.99,Yes,12508142.0,53.03,10244580
34,Married,High School,1,Urban,1,Skilled Labor,1,7,58668,77068.0,1,1396595,16415,27.98,763999.0,179708.0,303427.0,24.25,2,1,655.0,0,0,No,Vehicle,522803,3,11.6,Yes,608727.0,85.88,1919398
57,Married,Post Graduate,2,Rural,3,Private,7,7,46719,88775.0,2,3270390,39370,84.76593376131994,261182.0,0.0,198025.0,58.85,3,0,534.0,0,2,Yes,Home,2281205,20,15.94,Yes,3390870.0,67.27,5551595
42,Single,High School,0,Urban,3,Unemployed,4,11,27671,,0,0,0,0.0,101855.0,0.0,83004.0,41.27,1,2,649.0,0,0,Yes,Home,1653598,20,13.88,Yes,2762579.0,59.86,1653598
48,Divorced,PhD,1,Rural,4,Government,3,14,82157,82154.0,0,0,0,0.0,1126883.0,0.0,644288.0,32.19,2,1,679.0,0,0,Yes,Vehicle,542520,3,11.76,No,,,542520
32,Single,Diploma,0,Rural,3,Government,5,5,63774,74918.0,0,0,0,0.0,566759.0,0.0,407437.0,32.24,1,1,667.0,0,0,No,Business,2937138,10,10.79,Yes,4285074.0,68.54,2937138
30,Single,Graduate,0,Urban,2,Private,1,1,66668,0.0,0,0,0,0.0,885447.0,122314.0,914506.0,26.76,1,1,685.0,0,0,No,Home,1681544,20,11.47,Yes,2812177.0,59.8,1681544
45,Married,Graduate,2,Rural,3,Government,1,7,85581,0.0,3,4686366,47724,55.76,1092978.0,945272.0,476265.0,35.2,4,3,561.0,0,1,Yes,Vehicle,410577,5,13.75,Yes,777668.0,52.8,5096943
32,Single,No Formal,0,Urban,2,Self-Employed,3,4,82766,13248.0,0,0,0,0.0,518559.0,0.0,338364.0,43.2,5,1,702.0,0,0,Yes,Personal,984590,3,9.93,No,,,984590
33,Married,Graduate,2,Urban,2,Self-Employed,3,5,49636,0.0,1,1655878,19507,39.3,201394.0,72903.0,265625.0,44.78,3,1,655.0,0,0,Yes,Vehicle,593460,5,11.37,Yes,960463.0,61.79,2249338
26,Married,No Formal,1,Urban,4,Unemployed,1,1,10043,0.0,2,256070,3366,33.52,76055.0,0.0,,59.86,1,0,430.0,1,3,Yes,Home,337846,25,14.94,Yes,481499.0,70.17,593916
29,Single,High School,1,Rural,4,Private,0,2,61130,0.0,3,4619474,46519,76.1,205022.0,0.0,280220.0,68.74,1,2,563.0,0,1,Yes,Home,3656002,25,15.81,Yes,5369640.0,68.09,8275476
25,Married,Graduate,2,Urban,1,Government,0,0,108823,0.0,3,1205472,10178,9.35,1033150.0,259462.0,1060671.0,39.67,3,2,616.0,0,2,Yes,Vehicle,915751,5,13.15,Yes,1629387.0,56.2,2121223
34,Single,High School,0,Urban,1,Private,2,6,69467,0.0,0,0,0,0.0,1490192.0,810997.0,434430.0,35.42,2,2,634.0,0,0,Yes,Business,1995382,10,11.87,Yes,2925729.0,68.2,1995382
